['TIL-103D', '17:40', '19:00', 'Monday']
['SEC-208', '17:40', '19:00', 'Thursday']
['TIL-232', '17:40', '19:00', 'Tuesday']
['TIL-232', '17:40', '19:00', 'Thursday']
['TIL-257', '17:55', '18:50', 'Wednesday']
['TIL-246', '10:35', '11:30', 'Wednesday']
['BE-253', '12:25', '13:20', 'Wednesday']
['BRR-5105', '19:45', '20:40', 'Wednesday']
['TIL-254', '08:30', '09:50', 'Monday']
['TIL-254', '08:30', '09:50', 'Thursday']
['LSH-B115', '17:55', '18:50', 'Tuesday']
['TIL-264', '12:25', '13:20', 'Tuesday']
['TIL-246', '12:25', '13:20', 'Wednesday']
['TIL-116', '19:45', '20:40', 'Tuesday']
['BE-100', '15:50', '17:10', 'Monday']
['BE-100', '15:50', '17:10', 'Wednesday']
['SEC-203', '19:45', '20:40', 'Wednesday']
['SEC-203', '17:55', '18:50', 'Wednesday']
['LSH-A143', '16:05', '17:00', 'Thursday']
['SEC-207', '17:55', '18:50', 'Friday']
['BE-100', '12:10', '13:30', 'Tuesday']
['BE-100', '12:10', '13:30', 'Friday']
['LSH-B115', '19:45', '20:40', 'Monday']
['LSH-B117', '17:55', '18:50', 'Monday']
['BE-252', '19:45', '20:40', 'Thursday']
['LSH-B269', '12:25', '13:20', 'Wednesday']
['LSH-B267', '12:10', '13:30', 'Friday']
['BE-100', '10:20', '11:40', 'Wednesday']
['BE-100', '15:50', '17:10', 'Friday']
['ARC-105', '17:55', '18:50', 'Friday']
['SEC-118', '17:55', '18:50', 'Wednesday']
['ARC-105', '19:45', '20:40', 'Wednesday']
['SEC-205', '12:25', '13:20', 'Wednesday']
['SEC-111', '12:10', '13:30', 'Tuesday']
['SEC-111', '12:10', '13:30', 'Friday']
['SEC-202', '21:35', '22:30', 'Tuesday']
['SEC-205', '14:15', '15:10', 'Friday']
['SEC-207', '19:45', '20:40', 'Tuesday']
['SEC-207', '14:15', '15:10', 'Friday']
['TIL-226', '12:10', '13:30', 'Monday']
['TIL-226', '12:10', '13:30', 'Thursday']
['BE-252', '19:45', '20:40', 'Monday']
['BE-253', '17:55', '18:50', 'Thursday']
['LSH-A102', '14:00', '15:20', 'Tuesday']
['LSH-A102', '14:00', '15:20', 'Thursday']
['HLL-116', '17:55', '18:50', 'Thursday']
['SEC-203', '19:45', '20:40', 'Tuesday']
['SEC-202', '17:55', '18:50', 'Tuesday']
['SEC-210', '19:45', '20:40', 'Thursday']
['SEC-111', '12:10', '13:30', 'Wednesday']
['SEC-111', '14:00', '15:20', 'Friday']
['SEC-202', '16:05', '17:00', 'Friday']
['CCB-1303', '17:55', '18:50', 'Wednesday']
['ARC-107', '19:45', '20:40', 'Wednesday']
['SEC-203', '14:15', '15:10', 'Wednesday']
['PHY-001', '15:50', '17:10', 'Monday']
['PHY-001', '15:50', '17:10', 'Wednesday']
['SEC-202', '19:45', '20:40', 'Wednesday']
['SEC-202', '17:55', '18:50', 'Wednesday']
['SEC-203', '19:45', '20:40', 'Monday']
['SEC-203', '17:55', '18:50', 'Monday']
['HLL-114', '14:00', '15:20', 'Tuesday']
['HLL-114', '14:00', '15:20', 'Thursday']
['ARC-107', '19:45', '20:40', 'Tuesday']
['ARC-105', '16:05', '17:00', 'Thursday']
['SEC-205', '17:55', '18:50', 'Thursday']
['SEC-207', '17:55', '18:50', 'Tuesday']
['HLL-114', '10:20', '11:40', 'Wednesday']
['HLL-114', '15:50', '17:10', 'Friday']
['BE-252', '16:05', '17:00', 'Wednesday']
['BE-252', '14:15', '15:10', 'Wednesday']
['BE-250', '19:45', '20:40', 'Wednesday']
['BE-250', '12:25', '13:20', 'Wednesday']
['LSH-B115', '15:50', '17:10', 'Tuesday']
['LSH-B115', '15:50', '17:10', 'Thursday']
['LSH-B117', '10:35', '11:30', 'Wednesday']
['ARC-103', '08:30', '09:50', 'Tuesday']
['ARC-103', '08:30', '09:50', 'Friday']
['SEC-117', '12:25', '13:20', 'Tuesday']
['SEC-117', '10:35', '11:30', 'Tuesday']
['HLL-116', '17:55', '18:50', 'Tuesday']
['SEC-210', '19:45', '20:40', 'Tuesday']
['TIL-264', '12:10', '13:30', 'Monday']
['TIL-264', '12:10', '13:30', 'Thursday']
['BE-252', '17:55', '18:50', 'Thursday']
['BRR-1095', '19:30', '22:30', 'Monday']
['BE-252', '19:45', '20:40', 'Wednesday']
['TIL-116', '12:25', '13:20', 'Wednesday']
['TIL-264', '15:50', '17:10', 'Monday']
['TIL-264', '15:50', '17:10', 'Wednesday']
['TIL-246', '17:55', '18:50', 'Monday']
['SEC-207', '12:10', '13:30', 'Monday']
['SEC-207', '12:10', '13:30', 'Thursday']
['ARC-107', '14:15', '15:10', 'Monday']
['ARC-103', '17:40', '19:00', 'Tuesday']
['ARC-103', '17:40', '19:00', 'Thursday']
['SEC-207', '19:45', '20:40', 'Monday']
['SEC-205', '17:55', '18:50', 'Monday']
['SEC-207', '19:45', '20:40', 'Wednesday']
['SEC-205', '17:55', '18:50', 'Wednesday']
['BE-100', '14:00', '15:20', 'Tuesday']
['BE-100', '14:00', '15:20', 'Thursday']
['TIL-246', '14:00', '15:20', 'Wednesday']
['LSH-B117', '15:50', '17:10', 'Wednesday']
['LSH-B117', '19:30', '20:50', 'Wednesday']
['LSH-A143', '12:10', '13:30', 'Thursday']
['TIL-232', '12:10', '13:30', 'Wednesday']
['TIL-232', '14:00', '15:20', 'Friday']
['TIL-246', '17:55', '18:50', 'Wednesday']
['LSH-B267', '16:05', '17:00', 'Wednesday']
['BE-253', '19:45', '20:40', 'Wednesday']
['FBO-108', '08:30', '09:50', 'Tuesday']
['FBO-108', '08:30', '09:50', 'Friday']
['SEC-208', '10:35', '11:30', 'Wednesday']
['SEC-208', '16:05', '17:00', 'Wednesday']
['SEC-208', '14:15', '15:10', 'Tuesday']
['SEC-208', '14:00', '15:20', 'Monday']
['SEC-208', '14:00', '15:20', 'Wednesday']
['CCB-1303', '19:30', '22:30', 'Monday']
['BE-253', '15:50', '17:10', 'Monday']
['BE-253', '15:50', '17:10', 'Wednesday']
['BE-253', '17:55', '18:50', 'Wednesday']
['SEC-117', '08:30', '09:50', 'Monday']
['SEC-117', '08:30', '09:50', 'Thursday']
['SEC-117', '14:15', '15:10', 'Monday']
['ARC-105', '12:25', '13:20', 'Thursday']
['TIL-257', '10:20', '11:40', 'Monday']
['TIL-257', '10:20', '11:40', 'Thursday']
['TIL-257', '17:40', '19:00', 'Tuesday']
['TIL-257', '17:40', '19:00', 'Thursday']
['TIL-226', '19:30', '20:50', 'Tuesday']
['TIL-226', '19:30', '20:50', 'Thursday']
['TIL-258', '14:00', '15:20', 'Tuesday']
['TIL-258', '14:00', '15:20', 'Thursday']
['TIL-116', '17:40', '19:00', 'Tuesday']
['TIL-116', '17:40', '19:00', 'Thursday']
['TIL-242', '15:50', '17:10', 'Monday']
['TIL-242', '15:50', '17:10', 'Wednesday']
['TIL-264', '15:50', '17:10', 'Tuesday']
['TIL-264', '15:50', '17:10', 'Thursday']
['TIL-258', '17:40', '19:00', 'Monday']
['TIL-258', '17:40', '19:00', 'Wednesday']
['BE-253', '14:00', '15:20', 'Monday']
['BE-253', '14:00', '15:20', 'Wednesday']
['LSH-B267', '17:40', '19:00', 'Tuesday']
['LSH-B267', '17:40', '19:00', 'Thursday']
['TIL-246', '19:30', '20:50', 'Monday']
['TIL-246', '19:30', '20:50', 'Wednesday']
['LSH-B105', '15:50', '17:10', 'Tuesday']
['LSH-B105', '15:50', '17:10', 'Thursday']
['TIL-127', '17:40', '19:00', 'Monday']
['TIL-127', '17:40', '19:00', 'Wednesday']
['BE-050', '19:30', '22:30', 'Wednesday']
['BE-253', '19:30', '20:50', 'Tuesday']
['BE-253', '19:30', '20:50', 'Thursday']
['TIL-106J', '12:10', '13:30', 'Monday']
['TIL-106J', '12:10', '13:30', 'Thursday']
['LSH-B269', '17:40', '19:00', 'Tuesday']
['LSH-B269', '17:40', '19:00', 'Thursday']
['TIL-246', '14:00', '15:20', 'Tuesday']
['TIL-246', '14:00', '15:20', 'Thursday']
['TIL-103A', '17:40', '19:00', 'Monday']
['TIL-103A', '17:40', '19:00', 'Wednesday']
['TIL-251', '17:40', '19:00', 'Tuesday']
['TIL-251', '17:40', '19:00', 'Thursday']
['TIL-251', '15:50', '17:10', 'Monday']
['TIL-251', '15:50', '17:10', 'Wednesday']
['TIL-209', '14:00', '15:20', 'Tuesday']
['TIL-209', '14:00', '15:20', 'Thursday']
['TIL-209', '19:30', '20:50', 'Tuesday']
['TIL-209', '19:30', '20:50', 'Thursday']
['SC-123', '08:30', '09:50', 'Monday']
['SC-123', '08:30', '09:50', 'Thursday']
['ABW-2125', '14:00', '15:20', 'Monday']
['ABW-2125', '14:00', '15:20', 'Wednesday']
['SC-123', '10:20', '11:40', 'Monday']
['SC-123', '10:20', '11:40', 'Thursday']
['ABE-2225', '10:20', '11:40', 'Tuesday']
['ABE-2225', '10:20', '11:40', 'Friday']
['VH-105', '10:20', '11:40', 'Monday']
['VH-105', '10:20', '11:40', 'Thursday']
['SC-135', '08:30', '09:50', 'Monday']
['SC-135', '08:30', '09:50', 'Thursday']
['SC-135', '14:00', '15:20', 'Tuesday']
['SC-135', '14:00', '15:20', 'Thursday']
['SC-123', '08:30', '09:50', 'Tuesday']
['SC-123', '08:30', '09:50', 'Friday']
['ABE-4400', '17:40', '20:40', 'Tuesday']
['MU-210', '17:40', '20:40', 'Monday']
['ABW-2160', '14:00', '15:20', 'Tuesday']
['ABW-2160', '14:00', '15:20', 'Thursday']
['VH-105', '10:20', '11:40', 'Tuesday']
['VH-105', '10:20', '11:40', 'Friday']
['ABE-4450', '15:50', '17:10', 'Monday']
['ABE-4450', '15:50', '17:10', 'Wednesday']
['MU-213', '10:20', '11:40', 'Monday']
['MU-213', '10:20', '11:40', 'Thursday']
['MU-213', '14:00', '15:20', 'Monday']
['MU-213', '14:00', '15:20', 'Wednesday']
['FH-A5', '15:50', '17:10', 'Monday']
['FH-A5', '15:50', '17:10', 'Wednesday']
['ABE-1180', '14:00', '15:20', 'Monday']
['ABE-1180', '14:00', '15:20', 'Wednesday']
['CDL-110', '19:30', '22:30', 'Thursday']
['ABE-4450', '14:00', '15:20', 'Monday']
['ABE-4450', '14:00', '15:20', 'Wednesday']
['FH-A5', '12:10', '13:30', 'Monday']
['FH-A5', '12:10', '13:30', 'Thursday']
['FH-A6', '10:20', '11:40', 'Monday']
['FH-A6', '10:20', '11:40', 'Thursday']
['ABW-1100', '21:35', '22:30', 'Tuesday']
['MU-213', '12:10', '13:30', 'Monday']
['MU-213', '12:10', '13:30', 'Thursday']
['ABW-1170', '17:40', '19:00', 'Monday']
['ABW-1170', '17:40', '19:00', 'Wednesday']
['SC-204', '10:20', '11:40', 'Monday']
['SC-204', '10:20', '11:40', 'Thursday']
['MU-208', '14:00', '15:20', 'Monday']
['MU-208', '14:00', '15:20', 'Wednesday']
['MU-210', '14:00', '15:20', 'Monday']
['MU-210', '14:00', '15:20', 'Wednesday']
['MU-301', '15:50', '17:10', 'Monday']
['MU-301', '15:50', '17:10', 'Wednesday']
['CA-A5', '19:30', '20:50', 'Tuesday']
['CA-A5', '19:30', '20:50', 'Thursday']
['SC-205', '14:00', '17:00', 'Tuesday']
['SC-115', '15:50', '17:10', 'Monday']
['SC-115', '15:50', '17:10', 'Wednesday']
['FH-A6', '15:50', '17:10', 'Monday']
['FH-A6', '15:50', '17:10', 'Wednesday']
['MU-212', '12:10', '13:30', 'Monday']
['MU-212', '12:10', '13:30', 'Thursday']
['MU-210', '14:00', '15:20', 'Tuesday']
['MU-210', '14:00', '15:20', 'Thursday']
['HH-A7', '12:10', '13:30', 'Monday']
['HH-A7', '12:10', '13:30', 'Thursday']
['MU-301', '14:00', '15:20', 'Tuesday']
['MU-301', '14:00', '15:20', 'Thursday']
['MU-210', '15:50', '17:10', 'Tuesday']
['MU-210', '15:50', '17:10', 'Thursday']
['MU-213', '08:30', '09:50', 'Monday']
['MU-213', '08:30', '09:50', 'Thursday']
['FH-B4', '10:20', '11:40', 'Monday']
['FH-B4', '10:20', '11:40', 'Thursday']
['ABE-3450', '08:30', '11:30', 'Wednesday']
['MU-001', '10:20', '13:20', 'Thursday']
['ABE-2200', '10:20', '11:40', 'Monday']
['ABE-2200', '10:20', '11:40', 'Thursday']
['MU-038', '10:20', '13:20', 'Wednesday']
['MU-038', '10:20', '13:20', 'Tuesday']
['MU-302', '15:50', '18:50', 'Monday']
['MU-302', '14:00', '17:00', 'Wednesday']
['MU-305', '10:20', '13:20', 'Thursday']
['ABE-3200', '12:10', '15:10', 'Wednesday']
['MU-038', '14:00', '15:20', 'Tuesday']
['MU-038', '14:00', '15:20', 'Thursday']
['MU-302', '15:50', '18:50', 'Tuesday']
['MU-302', '10:20', '13:20', 'Monday']
['MU-302', '10:20', '13:20', 'Thursday']
['MU-302', '10:20', '13:20', 'Tuesday']
['ABE-3200', '15:50', '18:50', 'Wednesday']
['MU-305', '10:20', '13:20', 'Tuesday']
['MU-002', '17:40', '19:00', 'Monday']
['MU-002', '17:40', '19:00', 'Wednesday']
['MU-003', '10:20', '11:40', 'Monday']
['MU-003', '10:20', '11:40', 'Thursday']
['ABE-2250', '12:10', '13:30', 'Monday']
['ABE-2250', '12:10', '13:30', 'Thursday']
['MU-002', '10:20', '11:40', 'Wednesday']
['MU-002', '15:50', '17:10', 'Friday']
['MU-038', '14:00', '15:20', 'Monday']
['MU-038', '14:00', '15:20', 'Wednesday']
['MU-038', '19:30', '20:50', 'Tuesday']
['MU-038', '19:30', '20:50', 'Thursday']
['MU-002', '14:00', '15:20', 'Monday']
['MU-002', '14:00', '15:20', 'Wednesday']
['MU-001', '10:20', '13:20', 'Monday']
['MU-002', '15:50', '17:10', 'Monday']
['MU-002', '15:50', '17:10', 'Wednesday']
['MU-002', '19:30', '20:50', 'Tuesday']
['MU-002', '19:30', '20:50', 'Thursday']
['MU-038', '17:40', '19:00', 'Tuesday']
['MU-038', '17:40', '19:00', 'Thursday']
['MU-003', '14:00', '15:20', 'Monday']
['MU-003', '14:00', '15:20', 'Wednesday']
['MU-002', '10:20', '11:40', 'Tuesday']
['MU-002', '10:20', '11:40', 'Friday']
['MU-002', '12:10', '13:30', 'Tuesday']
['MU-002', '12:10', '13:30', 'Friday']
['MU-003', '12:10', '13:30', 'Monday']
['MU-003', '12:10', '13:30', 'Thursday']
['MU-001', '15:50', '18:50', 'Tuesday']
['MU-038', '15:50', '17:10', 'Monday']
['MU-038', '15:50', '17:10', 'Wednesday']
['MU-002', '19:30', '20:50', 'Monday']
['MU-002', '19:30', '20:50', 'Wednesday']
['MU-001', '14:00', '15:20', 'Tuesday']
['MU-001', '14:00', '15:20', 'Thursday']
['MU-002', '15:50', '17:10', 'Tuesday']
['MU-002', '15:50', '17:10', 'Thursday']
['MU-003', '17:40', '19:00', 'Tuesday']
['MU-003', '17:40', '19:00', 'Thursday']
['HCK-113', '17:40', '19:00', 'Monday']
['HCK-113', '17:40', '19:00', 'Wednesday']
['HCK-132', '15:50', '17:10', 'Monday']
['HCK-132', '15:50', '17:10', 'Wednesday']
['MU-002', '14:00', '15:20', 'Tuesday']
['MU-002', '14:00', '15:20', 'Thursday']
['MU-003', '10:20', '11:40', 'Tuesday']
['MU-003', '10:20', '11:40', 'Friday']
['ABW-4140', '14:00', '17:00', 'Friday']
['MU-003', '10:20', '13:20', 'Wednesday']
['MU-001', '10:20', '13:20', 'Friday']
['MU-305', '10:20', '13:20', 'Monday']
['MU-001', '14:00', '15:20', 'Monday']
['MU-001', '14:00', '15:20', 'Wednesday']
['ABE-2250', '14:00', '15:20', 'Tuesday']
['ABE-2250', '14:00', '15:20', 'Thursday']
['MU-038', '15:50', '17:10', 'Tuesday']
['MU-038', '15:50', '17:10', 'Thursday']
['MU-002', '17:40', '19:00', 'Tuesday']
['MU-002', '17:40', '19:00', 'Thursday']
['MU-038', '14:00', '17:00', 'Friday']
['MU-038', '10:20', '13:20', 'Friday']
['MU-001', '10:20', '13:20', 'Tuesday']
['MU-302', '14:00', '17:00', 'Thursday']
['MU-305', '10:20', '13:20', 'Friday']
['MU-038', '10:20', '13:20', 'Thursday']
['MU-001', '15:50', '17:10', 'Monday']
['MU-001', '15:50', '17:10', 'Wednesday']
['MU-002', '12:10', '13:30', 'Wednesday']
['MU-002', '14:00', '15:20', 'Friday']
['MU-002', '12:10', '13:30', 'Monday']
['MU-002', '12:10', '13:30', 'Thursday']
['MU-003', '14:00', '15:20', 'Tuesday']
['MU-003', '14:00', '15:20', 'Thursday']
['MU-305', '14:00', '17:00', 'Monday']
['MU-001', '17:40', '19:00', 'Monday']
['MU-001', '17:40', '19:00', 'Wednesday']
['CA-A2', '15:50', '17:10', 'Monday']
['CA-A2', '15:50', '17:10', 'Wednesday']
['MU-301', '17:40', '20:40', 'Wednesday']
['SC-103', '08:30', '09:50', 'Monday']
['SC-103', '08:30', '09:50', 'Thursday']
['SC-116', '10:20', '11:40', 'Monday']
['SC-116', '10:20', '11:40', 'Thursday']
['SC-105', '14:00', '15:20', 'Monday']
['SC-105', '14:00', '15:20', 'Wednesday']
['SC-103', '14:00', '15:20', 'Monday']
['SC-103', '14:00', '15:20', 'Wednesday']
['SC-104', '10:20', '11:40', 'Tuesday']
['SC-104', '10:20', '11:40', 'Friday']
['SC-106', '10:20', '11:40', 'Tuesday']
['SC-106', '10:20', '11:40', 'Friday']
['SC-201', '12:10', '13:30', 'Tuesday']
['SC-201', '12:10', '13:30', 'Friday']
['SC-106', '12:10', '13:30', 'Tuesday']
['SC-106', '12:10', '13:30', 'Friday']
['SC-104', '14:00', '15:20', 'Tuesday']
['SC-104', '14:00', '15:20', 'Thursday']
['SC-115', '17:40', '19:00', 'Tuesday']
['SC-115', '17:40', '19:00', 'Thursday']
['HCK-115', '12:10', '13:30', 'Monday']
['HCK-115', '12:10', '13:30', 'Thursday']
['HCK-114', '12:10', '13:30', 'Monday']
['HCK-114', '12:10', '13:30', 'Thursday']
['HCK-115', '14:00', '15:20', 'Monday']
['HCK-115', '14:00', '15:20', 'Wednesday']
['HCK-114', '14:00', '15:20', 'Monday']
['HCK-114', '14:00', '15:20', 'Wednesday']
['CI-203', '14:00', '15:20', 'Monday']
['CI-203', '14:00', '15:20', 'Wednesday']
['HCK-115', '15:50', '17:10', 'Monday']
['HCK-115', '15:50', '17:10', 'Wednesday']
['HCK-114', '15:50', '17:10', 'Monday']
['HCK-114', '15:50', '17:10', 'Wednesday']
['HCK-207', '14:00', '15:20', 'Tuesday']
['HCK-207', '14:00', '15:20', 'Thursday']
['ARC-333', '10:20', '11:40', 'Monday']
['ARC-333', '10:20', '11:40', 'Thursday']
['ARC-207', '15:50', '17:10', 'Monday']
['ARC-207', '15:50', '17:10', 'Wednesday']
['ARC-110', '10:20', '11:40', 'Tuesday']
['ARC-110', '10:20', '11:40', 'Friday']
['TIL-252', '15:50', '17:10', 'Tuesday']
['TIL-252', '15:50', '17:10', 'Thursday']
['TIL-252', '14:00', '15:20', 'Tuesday']
['TIL-252', '14:00', '15:20', 'Thursday']
['ARC-110', '12:10', '13:30', 'Tuesday']
['ARC-110', '12:10', '13:30', 'Friday']
['TIL-127', '10:20', '11:40', 'Monday']
['TIL-127', '10:20', '11:40', 'Thursday']
['LSH-B111', '10:20', '11:40', 'Monday']
['LSH-B111', '10:20', '11:40', 'Thursday']
['TIL-123', '12:10', '13:30', 'Monday']
['TIL-123', '12:10', '13:30', 'Thursday']
['LSH-B205', '12:10', '13:30', 'Monday']
['LSH-B205', '12:10', '13:30', 'Thursday']
['LSH-B109', '14:00', '15:20', 'Monday']
['LSH-B109', '14:00', '15:20', 'Wednesday']
['TIL-125', '12:10', '13:30', 'Monday']
['TIL-125', '12:10', '13:30', 'Thursday']
['LSH-B109', '10:20', '11:40', 'Tuesday']
['LSH-B109', '10:20', '11:40', 'Friday']
['LSH-B109', '14:00', '15:20', 'Tuesday']
['LSH-B109', '14:00', '15:20', 'Thursday']
['LSH-B109', '17:40', '19:00', 'Tuesday']
['LSH-B109', '17:40', '19:00', 'Thursday']
['SC-120', '17:40', '19:00', 'Tuesday']
['SC-120', '17:40', '19:00', 'Thursday']
['FH-A1', '17:40', '19:00', 'Monday']
['FH-A1', '17:40', '19:00', 'Wednesday']
['TIL-105', '15:50', '17:10', 'Tuesday']
['TIL-105', '15:50', '17:10', 'Thursday']
['SC-114', '10:20', '11:40', 'Monday']
['SC-114', '10:20', '11:40', 'Thursday']
['MU-113', '08:30', '09:50', 'Tuesday']
['MU-113', '08:30', '09:50', 'Friday']
['SC-205', '19:30', '20:50', 'Tuesday']
['SC-205', '19:30', '20:50', 'Thursday']
['SC-205', '17:40', '19:00', 'Tuesday']
['SC-205', '17:40', '19:00', 'Thursday']
['HH-B5', '12:10', '13:30', 'Monday']
['HH-B5', '12:10', '13:30', 'Thursday']
['SC-105', '10:20', '11:40', 'Tuesday']
['SC-105', '10:20', '11:40', 'Friday']
['SC-105', '12:10', '13:30', 'Tuesday']
['SC-105', '12:10', '13:30', 'Friday']
['SC-201', '15:50', '17:10', 'Tuesday']
['SC-201', '15:50', '17:10', 'Thursday']
['FH-B4', '14:00', '15:20', 'Monday']
['FH-B4', '14:00', '15:20', 'Wednesday']
['TIL-103C', '14:00', '15:20', 'Tuesday']
['TIL-103C', '14:00', '15:20', 'Thursday']
['BE-119', '15:50', '17:10', 'Tuesday']
['BE-119', '15:50', '17:10', 'Thursday']
['CI-203', '15:50', '17:10', 'Monday']
['CI-203', '15:50', '17:10', 'Wednesday']
['HH-A2', '17:40', '19:00', 'Monday']
['HH-A2', '17:40', '19:00', 'Wednesday']
['HCK-207', '10:20', '11:40', 'Monday']
['HCK-207', '10:20', '11:40', 'Thursday']
['HCK-207', '12:10', '13:30', 'Monday']
['HCK-207', '12:10', '13:30', 'Thursday']
['LSH-B111', '17:40', '19:00', 'Tuesday']
['LSH-B111', '17:40', '19:00', 'Thursday']
['TIL-125', '10:20', '11:40', 'Monday']
['TIL-125', '10:20', '11:40', 'Thursday']
['BE-201', '14:00', '15:20', 'Tuesday']
['BE-201', '14:00', '15:20', 'Thursday']
['TIL-123', '14:00', '15:20', 'Monday']
['TIL-123', '14:00', '15:20', 'Wednesday']
['TIL-125', '10:20', '11:40', 'Tuesday']
['TIL-125', '10:20', '11:40', 'Friday']
['LSH-B205', '12:10', '13:30', 'Tuesday']
['LSH-B205', '12:10', '13:30', 'Friday']
['TIL-127', '15:50', '17:10', 'Tuesday']
['TIL-127', '15:50', '17:10', 'Thursday']
['TIL-123', '17:40', '19:00', 'Tuesday']
['TIL-123', '17:40', '19:00', 'Thursday']
['ARC-207', '10:20', '11:40', 'Monday']
['ARC-207', '10:20', '11:40', 'Thursday']
['ARC-207', '12:10', '13:30', 'Monday']
['ARC-207', '12:10', '13:30', 'Thursday']
['ARC-110', '14:00', '15:20', 'Monday']
['ARC-110', '14:00', '15:20', 'Wednesday']
['CI-203', '10:20', '11:40', 'Monday']
['CI-203', '10:20', '11:40', 'Thursday']
['FH-A4', '14:00', '15:20', 'Tuesday']
['FH-A4', '14:00', '15:20', 'Thursday']
['HH-A3', '14:00', '15:20', 'Tuesday']
['HH-A3', '14:00', '15:20', 'Thursday']
['FH-B1', '14:00', '15:20', 'Monday']
['FH-B1', '14:00', '15:20', 'Wednesday']
['HCK-122', '10:20', '11:40', 'Monday']
['HCK-122', '10:20', '11:40', 'Thursday']
['SC-207', '14:00', '15:20', 'Monday']
['SC-207', '14:00', '15:20', 'Wednesday']
['TIL-224', '14:00', '15:20', 'Tuesday']
['TIL-224', '14:00', '15:20', 'Thursday']
['LSH-B111', '15:50', '17:10', 'Tuesday']
['LSH-B111', '15:50', '17:10', 'Thursday']
['ARC-204', '10:20', '11:40', 'Tuesday']
['ARC-204', '10:20', '11:40', 'Friday']
['CI-203', '12:10', '13:30', 'Monday']
['CI-203', '12:10', '13:30', 'Thursday']
['HCK-126', '12:10', '13:30', 'Monday']
['HCK-126', '12:10', '13:30', 'Thursday']
['HCK-123', '10:20', '11:40', 'Monday']
['HCK-123', '10:20', '11:40', 'Thursday']
['HCK-204', '10:20', '11:40', 'Monday']
['HCK-204', '10:20', '11:40', 'Thursday']
['FH-B5', '10:20', '11:40', 'Monday']
['FH-B5', '10:20', '11:40', 'Thursday']
['BE-201', '15:50', '17:10', 'Monday']
['BE-201', '15:50', '17:10', 'Wednesday']
['HH-B5', '14:00', '15:20', 'Tuesday']
['HH-B5', '14:00', '15:20', 'Thursday']
['SC-120', '17:40', '19:00', 'Monday']
['SC-120', '17:40', '19:00', 'Wednesday']
['BE-219', '14:00', '15:20', 'Monday']
['BE-219', '14:00', '15:20', 'Wednesday']
['SC-120', '14:00', '15:20', 'Monday']
['SC-120', '14:00', '15:20', 'Wednesday']
['SC-204', '15:50', '17:10', 'Monday']
['SC-204', '15:50', '17:10', 'Wednesday']
['TIL-251', '14:00', '15:20', 'Tuesday']
['TIL-251', '14:00', '15:20', 'Thursday']
['HH-B3', '15:50', '17:10', 'Tuesday']
['HH-B3', '15:50', '17:10', 'Thursday']
['TIL-224', '17:40', '19:00', 'Monday']
['TIL-224', '17:40', '19:00', 'Wednesday']
['LSH-B111', '10:20', '11:40', 'Tuesday']
['LSH-B111', '10:20', '11:40', 'Friday']
['LSH-B105', '14:00', '15:20', 'Tuesday']
['LSH-B105', '14:00', '15:20', 'Thursday']
['SC-221', '12:10', '13:30', 'Monday']
['SC-221', '12:10', '13:30', 'Thursday']
['FH-B5', '14:00', '15:20', 'Tuesday']
['FH-B5', '14:00', '15:20', 'Thursday']
['HLL-009', '12:10', '13:30', 'Monday']
['HLL-009', '12:10', '13:30', 'Thursday']
['FH-B6', '12:10', '13:30', 'Monday']
['FH-B6', '12:10', '13:30', 'Thursday']
['HCK-117', '10:20', '11:40', 'Monday']
['HCK-117', '10:20', '11:40', 'Thursday']
['TIL-224', '19:30', '20:50', 'Tuesday']
['TIL-224', '19:30', '20:50', 'Thursday']
['HCK-209', '10:20', '11:40', 'Monday']
['HCK-209', '10:20', '11:40', 'Thursday']
['FH-A3', '10:20', '11:40', 'Monday']
['FH-A3', '10:20', '11:40', 'Thursday']
['FH-B3', '12:10', '13:30', 'Monday']
['FH-B3', '12:10', '13:30', 'Thursday']
['HH-B5', '10:20', '11:40', 'Monday']
['HH-B5', '10:20', '11:40', 'Thursday']
['SC-120', '15:50', '17:10', 'Tuesday']
['SC-120', '15:50', '17:10', 'Thursday']
['SC-120', '14:00', '15:20', 'Tuesday']
['SC-120', '14:00', '15:20', 'Thursday']
['HCK-114', '10:20', '11:40', 'Tuesday']
['HCK-114', '10:20', '11:40', 'Friday']
['HCK-115', '15:50', '17:10', 'Tuesday']
['HCK-115', '15:50', '17:10', 'Thursday']
['HLL-009', '14:00', '15:20', 'Tuesday']
['HLL-009', '14:00', '15:20', 'Thursday']
['FH-A3', '14:00', '15:20', 'Tuesday']
['FH-A3', '14:00', '15:20', 'Thursday']
['SC-205', '14:00', '15:20', 'Monday']
['SC-205', '14:00', '15:20', 'Wednesday']
['SC-205', '14:00', '15:20', 'Friday']
['SC-216', '12:10', '13:30', 'Monday']
['SC-216', '12:10', '13:30', 'Wednesday']
['SC-216', '12:10', '13:30', 'Thursday']
['BE-219', '12:10', '13:30', 'Monday']
['BE-219', '12:10', '13:30', 'Wednesday']
['BE-219', '12:10', '13:30', 'Thursday']
['BE-219', '10:20', '11:40', 'Monday']
['BE-219', '10:20', '11:40', 'Wednesday']
['BE-219', '10:20', '11:40', 'Thursday']
['BE-213', '12:10', '13:30', 'Monday']
['BE-213', '12:10', '13:30', 'Wednesday']
['BE-213', '12:10', '13:30', 'Thursday']
['BE-213', '10:20', '11:40', 'Monday']
